utterance,intent
tell me about your personality,agent_acquaintance
why are you here,agent_acquaintance
talk about yourself,agent_acquaintance
tell me some stuff about you,agent_acquaintance
talk some stuff about yourself,agent_acquaintance
I want to know you better,agent_acquaintance
I want to know more about you,agent_acquaintance
who are you,agent_acquaintance
tell me about yourself,agent_acquaintance
tell me about you,agent_acquaintance
about yourself,agent_acquaintance
describe yourself,agent_acquaintance
introduce yourself,agent_acquaintance
say about you,agent_acquaintance
what are you,agent_acquaintance
define yourself,agent_acquaintance
what is your personality,agent_acquaintance
all about you,agent_acquaintance
what are you upto?,agent_acquaintance
who the hell are you?,agent_acquaintance
what can you do for me?,agent_acquaintance
tell me your age,agent_age
what's your age?,agent_age
your age,agent_age
age of yours,agent_age
how old were you,agent_age
I'd like to know your age,agent_age
how old is your platform,agent_age
how old are you?,agent_age
tell me how old you are,agent_age
how can i know about your age,agent_age
i wanna know your age,agent_age
how long have you been live?,agent_age
what is your age as of today?,agent_age
How old did you turn?,agent_age
How old are you now?,agent_age
what is your age?,agent_age
How old will you be turning?,agent_age
how old r u?,agent_age
From how long you have been here?,agent_age
You look aged,agent_age
you are annoying me so much,agent_annoying
you're incredibly annoying,agent_annoying
I find you annoying,agent_annoying
you are annoying,agent_annoying
you're so annoying,agent_annoying
how annoying you are,agent_annoying
you annoy me,agent_annoying
you are annoying me,agent_annoying
you are irritating,agent_annoying
you are such annoying,agent_annoying
you're too annoying,agent_annoying
you are very annoying,agent_annoying
Why are you annoying me so much,agent_annoying
How annoying!,agent_annoying
It's annoying,agent_annoying
That's annoying,agent_annoying
It's just annoying,agent_annoying
That's so annoying,agent_annoying
You really annoy me,agent_annoying
You're starting to annoy me,agent_annoying
I want you to answer me,agent_answer_my_question
answer,agent_answer_my_question
answer my question,agent_answer_my_question
answer me,agent_answer_my_question
give me an answer,agent_answer_my_question
answer the question,agent_answer_my_question
can you answer my question,agent_answer_my_question
tell me the answer,agent_answer_my_question
answer it,agent_answer_my_question
give me the answer,agent_answer_my_question
I have a question,agent_answer_my_question
I want you to answer my question,agent_answer_my_question
just answer the question,agent_answer_my_question
can you answer me,agent_answer_my_question
answers,agent_answer_my_question
can you answer a question for me,agent_answer_my_question
can you answer,agent_answer_my_question
answering questions,agent_answer_my_question
I want the answer now,agent_answer_my_question
just answer my question,agent_answer_my_question
you're not helping me,agent_bad
you are bad,agent_bad
you're very bad,agent_bad
you're really bad,agent_bad
you are useless,agent_bad
you are horrible,agent_bad
you are a waste of time,agent_bad
you are disgusting,agent_bad
you are lame,agent_bad
you are no good,agent_bad
you're bad,agent_bad
you're awful,agent_bad
you are not cool,agent_bad
you are not good,agent_bad
you are so bad,agent_bad
you are so useless,agent_bad
you are terrible,agent_bad
you are totally useless,agent_bad
you are very bad,agent_bad
you are waste,agent_bad
you're a bad,agent_bad
you're not a good,agent_bad
you're not very good,agent_bad
you're terrible,agent_bad
you're the worst,agent_bad
you're the worst ever,agent_bad
you're worthless,agent_bad
you suck,agent_bad
you suck,agent_bad
You are seriously mindless and stupid,agent_bad
why are you so lame,agent_bad
your are a loser,agent_bad
you are really the worst bot ever,agent_bad
Why are you this lame?,agent_bad
study,agent_be_clever
you should study better,agent_be_clever
you must learn,agent_be_clever
be clever,agent_be_clever
be more clever,agent_be_clever
be smarter,agent_be_clever
be smart,agent_be_clever
